uid,base_price,special_price,ap_start_date,ap_end_date,duration,service_name,service_caption,service_group_name,service_pricing_id,created_date,updated_date,appointment_id,final_price,deleted,booking_id,extra_time
67,12,12,2025-07-14 13:30:00,2025-07-14 13:35:00,5,Eyebrows Tidy,Wax,"",184,2025-07-08 14:39:13.553941,2025-07-08 14:39:13.553941,353151,12,f,145906,
67,26,26,2025-07-14 13:55:00,2025-07-14 14:05:00,10,High Bikini,Hot Wax,"",197,2025-07-08 14:39:13.553941,2025-07-08 14:39:13.553941,353152,26,f,145906,
67,17,17,2025-07-14 13:35:00,2025-07-14 13:50:00,15,Eyelash Tint,,"",240,2025-07-08 14:39:13.553941,2025-07-08 14:39:13.553941,353153,17,f,145906,
67,15,15,2025-07-14 13:50:00,2025-07-14 13:55:00,5,Under Arms,Hot Wax,"",742,2025-07-08 14:39:13.553941,2025-07-08 14:39:13.553941,353154,15,f,145906,
117,100,100,2025-07-16 11:30:00,2025-07-16 14:30:00,180,Full Head Highlight (Toner Not Inc.),Medium,"",1201,2025-07-08 14:43:39.012512,2025-07-08 14:43:39.012512,353155,100,f,145907,
111,85,70,2025-07-12 12:30:00,2025-07-12 14:00:00,90,Russian Lashes,,"",1159,2025-07-08 14:47:01.555042,2025-07-08 14:47:01.555042,353156,70,f,145908,
113,45,45,2025-07-11 14:15:00,2025-07-11 15:15:00,60,Wash/Cut/Blowdry,Medium,"",1171,2025-07-09 06:57:14.968148,2025-07-09 06:57:14.968148,353198,45,f,145924,
73,28,28,2025-07-12 10:15:00,2025-07-12 11:05:00,50,Wash & Blow Dry,Short price,"",345,2025-07-09 08:29:16.069259,2025-07-09 08:29:16.069259,353202,28,f,145928,
119,50,45,2025-07-15 17:45:00,2025-07-15 18:40:00,55,Pedicure With Shellac Polish,,"",1290,2025-07-09 08:58:40.082117,2025-07-09 08:58:40.082117,353220,45,f,145937,
119,35,35,2025-07-15 17:15:00,2025-07-15 17:45:00,30,Shape & Polish with French Tips (Shellac),,"",1277,2025-07-09 08:58:40.082117,2025-07-09 08:58:40.082117,353219,35,f,145937,
111,20,20,2025-07-11 18:40:00,2025-07-11 18:55:00,15,Hips (Buttocks),,"",1249,2025-07-09 09:00:12.651756,2025-07-09 09:00:12.651756,353221,20,f,145938,
111,75,50,2025-07-11 18:00:00,2025-07-11 18:40:00,40,Hollywood & Full Legs,,"",1461,2025-07-09 09:00:12.651756,2025-07-09 09:00:12.651756,353222,50,f,145938,
111,40,35,2025-07-11 13:30:00,2025-07-11 14:25:00,55,"Luxury Pedicure ( Shape, Cuticle, Hard skin, Scrub, Massage,Polish )",,"",1286,2025-07-09 09:01:05.694163,2025-07-09 09:01:05.694163,353223,35,f,145939,
111,75,60,2025-07-14 10:15:00,2025-07-14 11:30:00,75,Classic Full Set,,"",1156,2025-07-09 09:19:08.780333,2025-07-09 09:19:08.780333,353226,60,f,145941,
111,37,28,2025-07-16 18:40:00,2025-07-16 19:05:00,25,Brazilian (Hot wax),,"",1242,2025-07-09 09:30:11.71292,2025-07-09 09:30:11.71292,353229,28,f,145942,
111,50,45,2025-07-16 16:00:00,2025-07-16 16:45:00,45,Eyelash Lift Inc Eyelash Tint,,"",1152,2025-07-09 12:41:38.327003,2025-07-09 12:41:38.327003,353299,45,f,145972,
111,45,35,2025-07-16 15:15:00,2025-07-16 16:00:00,45,Brow Lamination,,"",1153,2025-07-09 12:41:38.327003,2025-07-09 12:41:38.327003,353300,35,f,145972,
73,45,45,2025-07-12 12:35:00,2025-07-12 13:15:00,40,Wash & Cut,Long price,"",362,2025-07-09 13:46:57.556545,2025-07-09 13:46:57.556545,353337,45,f,145980,
73,25,25,2025-07-12 12:05:00,2025-07-12 12:35:00,30,Toner from,medium price,"",1122,2025-07-09 13:46:57.556545,2025-07-09 13:46:57.556545,353338,25,f,145980,
